순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,피어밴드,KT,3.04,26,8,10,0,0,0.444,160,153,20,31,7,132,67,54,1.15
2,장원준,두산,3.14,29,14,9,0,0,0.609,180 1/3,172,12,51,14,125,70,63,1.24
3,해커,NC,3.42,26,12,7,0,0,0.632,160 1/3,159,14,29,14,97,64,61,1.17
4,차우찬,LG,3.43,28,10,7,0,0,0.588,175 2/3,171,20,38,7,157,75,67,1.19
5,양현종,KIA,3.44,31,20,6,0,0,0.769,193 1/3,209,17,45,0,158,88,74,1.31
6,헥터,KIA,3.48,30,20,5,0,0,0.8,201 2/3,221,21,45,5,149,83,78,1.32
7,켈리,SK,3.6,30,16,7,0,0,0.696,190,204,16,45,11,189,85,76,1.31
8,박세웅,롯데,3.68,28,12,6,0,0,0.667,171 1/3,170,21,56,9,117,74,70,1.32
9,레일리,롯데,3.8,30,13,7,0,0,0.65,187 1/3,199,19,44,17,156,87,79,1.3
10,소사,LG,3.88,30,11,11,1,0,0.5,185 1/3,189,11,38,3,153,86,80,1.22
11,니퍼트,두산,4.06,30,14,8,0,0,0.636,179 2/3,175,20,77,10,161,88,81,1.4
12,박종훈,SK,4.1,29,12,7,0,1,0.632,151 1/3,145,16,61,25,107,74,69,1.36
13,팻딘,KIA,4.14,30,9,7,0,0,0.563,176,211,22,39,16,143,86,81,1.42
14,윤성환,삼성,4.28,28,12,9,0,0,0.571,174 1/3,181,22,37,15,130,86,83,1.25
15,브리검,넥센,4.38,24,10,6,0,0,0.625,144,166,17,26,13,98,77,70,1.33
16,최원태,넥센,4.46,25,11,7,0,0,0.611,149 1/3,161,19,34,12,126,76,74,1.31
17,유희관,두산,4.53,30,11,6,0,1,0.647,188 2/3,228,20,41,10,106,104,95,1.43
18,로치,KT,4.69,28,4,15,0,0,0.211,165,200,18,60,13,99,106,86,1.58
19,문승원,SK,5.33,29,6,12,0,0,0.333,155 1/3,181,25,54,11,86,98,92,1.51
