순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,양현종,KIA,2.29,29,16,8,0,0,0.667,184 2/3,165,6,33,2,163,56,47,1.07
2,린드블럼,두산,2.5,30,20,3,0,0,0.87,194 2/3,165,13,29,6,189,57,54,1.0
3,김광현,SK,2.51,31,17,6,0,0,0.739,190 1/3,198,13,38,2,180,64,53,1.24
4,켈리,LG,2.55,29,14,12,0,0,0.538,180 1/3,164,7,41,16,126,70,51,1.14
5,산체스,SK,2.62,28,17,5,0,0,0.773,165,151,2,42,2,148,51,48,1.17
6,윌슨,LG,2.92,30,14,7,0,0,0.667,185,171,7,44,10,137,77,60,1.16
7,브리검,키움,2.96,28,13,5,0,0,0.722,158 1/3,148,5,46,12,130,62,52,1.23
8,루친스키,NC,3.05,30,9,9,0,0,0.5,177 1/3,164,13,45,11,119,68,60,1.18
9,요키시,키움,3.13,30,13,9,0,0,0.591,181 1/3,166,9,39,11,141,72,63,1.13
10,유희관,두산,3.25,28,11,8,0,0,0.579,166 1/3,171,8,42,3,64,67,60,1.28
11,최원태,키움,3.38,27,11,5,0,0,0.688,157 1/3,165,5,36,5,105,68,59,1.28
12,채드벨,한화,3.5,29,11,10,0,0,0.524,177 1/3,169,14,63,10,134,73,69,1.31
13,서폴드,한화,3.51,31,12,11,0,0,0.522,192 1/3,191,8,54,8,135,84,75,1.27
14,쿠에바스,KT,3.62,30,13,10,0,0,0.565,184,153,18,63,12,135,80,74,1.17
15,이영하,두산,3.64,29,17,4,0,0,0.81,163 1/3,148,5,61,10,90,70,66,1.28
16,문승원,SK,3.88,26,11,7,0,2,0.611,144,130,23,33,3,99,63,62,1.13
16,박종훈,SK,3.88,28,8,11,0,0,0.421,144,157,12,59,13,100,72,62,1.5
18,레일리,롯데,3.88,30,5,14,0,0,0.263,181,191,10,65,8,140,88,78,1.41
19,알칸타라,KT,4.01,27,11,11,0,0,0.5,172 2/3,189,15,27,8,100,80,77,1.25
20,이용찬,두산,4.07,26,7,10,0,0,0.412,148 1/3,168,15,45,6,102,75,67,1.44
21,차우찬,LG,4.12,29,13,8,0,0,0.619,168 1/3,181,16,59,5,124,87,77,1.43
22,백정현,삼성,4.24,28,8,10,0,0,0.444,157,158,17,56,6,82,85,74,1.36
23,다익손,롯데,4.34,29,6,10,0,0,0.375,149 1/3,164,15,40,6,117,81,72,1.37
24,윌랜드,KIA,4.75,28,8,10,0,0,0.444,165,191,17,59,5,137,95,87,1.52
25,윤성환,삼성,4.77,27,8,13,0,0,0.381,145 1/3,168,14,50,7,65,87,77,1.5
26,김민,KT,4.96,27,6,12,0,0,0.333,150 2/3,175,16,65,4,91,88,83,1.59
27,터너,KIA,5.46,28,7,13,0,0,0.35,153 1/3,179,12,58,17,121,107,93,1.55
